timestamp,temperature,humidity,moisture,day
1524802139.1081746,0,0,70,1
1524802142.7382164,0,0,70,1
1524802146.3581364,0,0,71,1
1524802149.988421,0,0,71,1
1524802153.6084669,0,0,71,1
1524802157.2385025,0,0,71,1
1524802160.8586416,0,0,71,1
1524802164.4877143,0,0,71,1
1524802168.107858,0,0,71,1
1524802171.7378545,0,0,71,1
1524802175.3578413,0,0,71,1
1524802178.9882064,0,0,71,1
1524802182.6081052,0,0,72,1
1524802186.238109,0,0,72,1
1524802189.8583763,0,0,72,1
1524802193.4883485,0,0,72,1
1524802197.1083775,0,0,72,1
1524802200.7385685,0,0,72,1
1524802204.3586276,0,0,72,1
1524802207.9878776,0,0,72,1
1524802211.607851,0,0,73,1
1524802215.2378047,0,0,72,1
1524802218.8580623,0,0,73,1
1524802222.4880555,0,0,73,1
1524802226.1080515,0,0,73,1
1524802229.7383058,0,0,73,1
1524802233.3583329,0,0,73,1
1524802236.988333,0,0,73,1
1524802240.6085606,0,0,73,1
1524802244.2385068,0,0,73,1
1524802247.8585494,0,0,73,1
1524802251.4877732,0,0,73,1
1524802255.1078794,0,0,73,1
1524802258.738009,0,0,73,1
1524802262.3580394,0,0,74,1
1524802265.9880285,0,0,73,1
1524802269.6082342,0,0,73,1
1524802273.2383063,0,0,74,1
1524802276.8582556,0,0,75,1
1524802280.4885483,0,0,74,1
1524802284.1085074,0,0,75,1
1524802287.7385044,0,0,75,1
1524802291.35784,0,0,74,1
1524802294.9878392,0,0,75,1
1524802298.6079786,0,0,75,1
1524802302.2379892,0,0,74,1
1524802305.8579695,0,0,75,1
1524802309.488183,0,0,75,1
1524802313.108187,0,0,75,1
1524802316.738196,0,0,75,1
1524802320.3584363,0,0,75,1
1524802323.9884677,0,0,75,1
1524802327.6084602,0,0,75,1
1524802331.2386954,0,0,75,1
1524802334.858644,0,0,75,1
1524802338.4879425,0,0,75,1
1524802342.1079285,0,0,75,1
1524802345.737949,0,0,75,1
1524802349.3581448,0,0,76,1
1524802352.988182,0,0,75,1
1524802356.6081922,0,0,75,1
1524802360.2384706,0,0,75,1
1524802363.8584108,0,0,76,1
1524802367.488439,0,0,76,1
1524802371.108674,0,0,75,1
1524802374.7386596,0,0,76,1
1524802378.3579576,0,0,76,1
1524802381.9879522,0,0,76,1
1524802385.6079223,0,0,76,1
1524802389.2381327,0,0,76,1
1524802392.8581278,0,0,76,1
1524802396.4881468,0,0,76,1
1524802400.108409,0,0,76,1
1524802403.7384553,0,0,76,1
1524802407.3583703,0,0,76,1
